; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
1213;1214;m1174_0;0.0;0.0;0;C 4 26;1174;_0;MCLXXIV;0;0;0;0;835;0;Leggendarietto dei santi veronesi;cartaceo;0.0;0.0;0;51.0;0.0;0.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;4.21073774358943;0.5
1214;1215;m1175_0;0.0;0.0;0;C 4 27;1175;_0;MCLXXV;0;0;0;0;835;0;Leggendarietto dei santi veronesi;cartaceo;0.0;0.0;0;37.0;0.0;0.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;3.8954277290784507;0.5
1215;1216;m1176_0;0.0;0.0;0;C 4 28;1176;_0;MCLXXVI;0;0;0;0;835;0;Leggendarietto dei santi veronesi;cartaceo;0.0;0.0;0;0.0;0.0;0.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1216;1217;m1177_0;0.0;0.0;0;C 4 29;1177;_0;MCLXXVII;0;0;0;0;835;0;Constitutiones a r.d. Gaspare Bertoni sac. veronensi canditae pro sua sodalitate canonice instituenda;cartaceo;0.0;0.0;0;53.0;170.0;120.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.248644040502129;0.5
1217;1218;m1178_0;0.0;0.0;0;C 4 30;1178;_0;MCLXXVIII;0;0;0;0;835;in etichetta C4 29.;Regole delle figlie della carità fondate da S. Vincenzo De Paoli tradotte dall'originale francese;cartaceo;0.0;0.0;0;105.0;144.0;96.0;rilegato;pelle scura con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;4.92521356204226;0.5
1218;1219;m1179_0;0.0;0.0;0;C 4 31;1179;_0;MCLXXIX;0;0;0;0;835;0;Regulae sancti Benedicti abb.;cartaceo;0.0;0.0;0;280.0;150.0;104.0;0;0;0;/;orange;#888483;Non digitalizzato;5.901494251378214;0.15
1219;1220;m1180_0;0.0;0.0;0;D 4 1;1180;_0;MCLXXX;0;0;0;0;835;0;Pisani Sebastiano (vescovo di Verona): Costitutioni delle r.r. monache di S. Giovanni evangelista di Verona;cartaceo;1700.0;1700.0;0;61.0;0.0;0.0;rilegato;pelle con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;4.387350976840979;0.5
1220;1221;m1181_0;0.0;0.0;0;D 4 2;1181;_0;MCLXXXI;0;0;0;0;835;0;Regole e costitutioni da osservarsi dalla religiose terizarie dell'ordine dei Minimi di S. Francesco di Paola esistenti collegialmente nella venerabile casa di Verona;cartaceo;0.0;0.0;0;29.0;245.0;177.0;rilegato;pelle nera con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;3.657399536878786;0.5
1221;1222;m1182_0;0.0;0.0;0;D 4 3;1182;_0;MCLXXXII;0;0;0;0;835;0;Regole per chierici e postulanti del ven. collegio Accoliti;cartaceo;0.0;0.0;0;34.0;200.0;150.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.8126629693485388;0.5
1222;1223;m1183_0;0.0;0.0;0;D 4 4;1183;_0;MCLXXXIII;0;0;0;0;835-836;0;"Lezioni di religione: ""si vis ad vitam ingredi serva mandata..."", Veronae MDCCCXXII";cartaceo;0.0;0.0;0;44.0;186.0;144.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.065459144317535;0.5
1223;1224;m1184_0;0.0;0.0;0;D 4 4a;1184;_0;MCLXXXIV;0;0;0;0;836;0;F. Giustini: Memorie;cartaceo;1877.0;1900.0;0;0.0;0.0;0.0;fogli sciolti;raccolta di fogli;0;/;orange;#FF5733;Non digitalizzato;4.0;0.15
1224;1225;m1185_0;0.0;0.0;0;D 4 5;1185;_0;MCLXXXV;0;0;0;0;836;0;Aneddoti storici;cartaceo;0.0;0.0;0;0.0;245.0;185.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1225;1226;m1186_0;0.0;0.0;0;D 4 6;1186;_0;MCLXXXVI;0;0;0;0;836;A stampa?;De Betta: Varie;cartaceo;0.0;0.0;0;0.0;310.0;208.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1226;1227;m1187_0;0.0;0.0;0;D 4 7;1187;_0;MCLXXXVII;0;0;0;0;836;0;Famiglie nobili trentine;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1227;1228;m1188_0;0.0;0.0;0;D 4 12;1188;_0;MCLXXXVIII;0;0;0;0;836;Nel I supplemento allo Spagnolo D4 8;Corpus inscriptionum veronensis Othonis De Bettae...;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1228;1229;m1189_0;0.0;0.0;0;D 4 9;1189;_0;MCLXXXIX;0;0;0;0;836;0;Edoardo De Betta: Copia lettere e memoriale di corrispondenza malacologia ed altri rami di storia naturale;cartaceo;1825.0;1900.0;0;119.0;232.0;178.0;0;0;0;/;orange;#888483;Non digitalizzato;5.0495220839820005;0.15
1229;1230;m1190_0;0.0;0.0;0;D 4 10;1190;_0;MCXC;0;0;0;0;836;0;Ernesto De Betta: Raccolta di pensieri, sentenze, descrizioni, narrazioni, proverbi ed altro di vari autori in prosa e poesia;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1230;1231;m1191_0;0.0;0.0;0;D 4 11;1191;_0;MCXCI;0;0;0;0;836;0;Dadani don Antonio (parroco di Castelrotto): Inezie poetiche ed altro, 1886;cartaceo;0.0;0.0;0;94.0;312.0;210.0;rilegato;mezza tela;0;/;orange;#2B9332;Non digitalizzato;4.815397345369075;0.5
1231;1232;m1192_0;0.0;0.0;0;[D 4 8];1192;_0;MCXCII;0;0;0;0;836;Nel I supplemento al catalogo Spagnolo D4 12;Logogrifi, sciarade, indovinelli;cartaceo;0.0;0.0;0;29.0;310.0;223.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.657399536878786;0.5
1232;1233;m1193_0;0.0;0.0;0;D 4 13;1193;_0;MCXCIII;0;0;0;0;836;0;Philologus;cartaceo;0.0;0.0;0;19.0;228.0;155.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;3.248030014520774;0.5
1233;1234;m1194_0;0.0;0.0;0;D 4 14;1194;_0;MCXCIV;0;0;0;0;836;0;La pietà Accademia poetica data nel municipale ginnasio di Verona il giorno 5 settembre 1850;cartaceo;0.0;0.0;0;130.0;215.0;170.0;rilegato;tela con impressioni;0;/;orange;#2B9332;Non digitalizzato;5.137390306608239;0.5
1234;1235;m1195_0;0.0;0.0;0;D 4 15;1195;_0;MCXCV;0;0;0;0;836;0;L'Italia liberata delle (!) gloriose armi alleate (ode);cartaceo;1800.0;1800.0;0;18.0;240.0;176.0;0;0;0;/;orange;#888483;Non digitalizzato;3.1961188377455847;0.15
1235;1236;m1196_0;0.0;0.0;0;D 4 16;1196;_0;MCXCVI;0;0;0;0;836;0;Kondelet Antonio: Riflessioni sulla condotta degli uomini. L'obbedienza e i mezzi per ottenerla nei fanciulli;cartaceo;1850.0;1900.0;0;25.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;3.5130989578633627;0.15
1236;1237;m1197_0;0.0;0.0;0;D 4 17;1197;_0;MCXCVII;0;0;0;0;836;0;Mazzonelli Giacomo (prete veronese): Poesie ecclesiastiche e politche-morali;cartaceo;0.0;0.0;0;11.0;200.0;155.0;rilegato;mezza tela;0;/;orange;#2B9332;Non digitalizzato;2.7293495291336014;0.5
1237;1238;m1198_0;0.0;0.0;0;D 4 18;1198;_0;MCXCVIII;0;0;0;0;837;0;Mazzonelli Giacomo: Patrie poesie autografe;cartaceo;0.0;0.0;0;147.0;177.0;150.0;rilegato;tela;0;/;orange;#2B9332;Non digitalizzato;5.2596090221114835;0.5
1238;1239;m1199_0;0.0;0.0;0;D 4 19;1199;_0;MCXCIX;0;0;0;0;837;0;Tre buste contenenti commedie manoscritte;cartaceo;1800.0;1900.0;0;0.0;0.0;0.0;raccolte di fascicoli;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1239;1240;m1199_1;0.0;0.0;0;D 4 20;1199;_1;MCXCIX;0;0;0;0;837;0;Tre buste contenenti commedie manoscritte;cartaceo;1800.0;1900.0;0;0.0;0.0;0.0;raccolte di fascicoli;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1240;1241;m1199_2;0.0;0.0;0;D 4 21;1199;_2;MCXCIX;0;0;0;0;837;0;Tre buste contenenti commedie manoscritte;cartaceo;1800.0;1900.0;0;0.0;0.0;0.0;raccolte di fascicoli;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1241;1242;m1200_0;0.0;0.0;0;D 4 22;1200;_0;MCC;0;0;0;0;837;0;"Nomina di Zanini Vincenzo ad ""aromatarius"" in Padova 1788-1805";membranaceo;0.0;0.0;0;3.0;215.0;158.0;rilegato;pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;1.5905099025485816;0.5
1242;1243;m1201_0;0.0;0.0;0;D 4 23a;1201;_0;MCCI;0;0;0;0;837;0;Laurea dottorale di Francesco Mami;cartaceo;1740.0;1700.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1243;1244;m1202_0;0.0;0.0;0;D 4 23;1202;_0;MCCII;0;0;0;0;837;0;"""Privilegium"": Dottorato Pietro Roveda Verona, Patavii die XXIV. mensis martii MDCCCXXXI";cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1244;1245;m1203_0;0.0;0.0;0;D 4 24;1203;_0;MCCIII;0;0;0;0;837;0;Rubrica, elenco libri;cartaceo;0.0;0.0;0;0.0;255.0;183.0;rilegato;pelle con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1245;1246;m1204_0;0.0;0.0;0;D 4 25;1204;_0;MCCIV;0;0;0;0;837;0;Elenco libri;cartaceo;0.0;0.0;0;0.0;306.0;208.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1246;1247;m1205_0;0.0;0.0;0;D 4 26;1205;_0;MCCV;0;0;0;0;837;inni in tre fascicoli separati.;Inni;cartaceo;0.0;0.0;0;84.0;247.0;190.0;0;0;0;/;orange;#888483;Non digitalizzato;4.703883658924124;0.15
1247;1248;m1206_0;0.0;0.0;0;D 4 27;1206;_0;MCCVI;0;0;0;0;837;0;Valdambrini Ottavio: Teorie musicali adattate da maestro Ottavio Valdambrini per uso dei principianti suoi scolari;cartaceo;0.0;0.0;0;113.0;219.0;147.0;0;0;0;/;orange;#888483;Non digitalizzato;4.99812683290486;0.15
1248;1249;m1207_0;0.0;0.0;0;D 4 28;1207;_0;MCCVII;0;0;0;0;837;0;Bondioli Pietro Antonio: Lezioni di medicina pratica;cartaceo;0.0;0.0;0;76.0;314.0;222.0;0;In cartella di pergamena;0;/;orange;#888483;Non digitalizzato;4.604753432491749;0.15
1249;1250;m1208_0;0.0;0.0;0;D 4 29;1208;_0;MCCVIII;0;0;0;0;837;0;Malpighi: Consultationes;cartaceo;0.0;0.0;0;97.0;285.0;203.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.846562870970164;0.5
1250;1251;m1209_0;0.0;0.0;0;D 4 30;1209;_0;MCCIX;0;0;0;0;837;nessuna indicazione.;Prof. Scarpa: Ristretto delle operazioni in chirurgia...;cartaceo;0.0;0.0;0;0.0;259.0;162.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1251;1252;m1210_0;0.0;0.0;0;D 4 31;1210;_0;MCCX;0;0;0;0;837;0;Tractatus de scientia...;cartaceo;0.0;0.0;0;0.0;203.0;148.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1252;1253;m1211_0;0.0;0.0;0;E 5 1;1211;_0;MCCXI;0;0;0;0;837;0;De machiarum omnium morbis...;cartaceo;0.0;0.0;0;359.0;207.0;147.0;0;0;0;/;orange;#888483;Non digitalizzato;6.149424925096597;0.15
1253;1254;m1212_0;0.0;0.0;0;E 5 2;1212;_0;MCCXII;0;0;0;0;838;0;De morbis intimi ventris...;cartaceo;0.0;0.0;0;0.0;188.0;137.0;rilegato;caroncino;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1254;1255;m1213_0;0.0;0.0;0;E 5 3;1213;_0;MCCXIII;0;0;0;0;838;0;Medicinae praticae tractatus IIIus De morbis capitis;cartaceo;0.0;0.0;0;0.0;194.0;135.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1255;1256;m1214_0;0.0;0.0;0;E 5 4;1214;_0;MCCXIV;0;0;0;0;838;0;Curae aegrotorum;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1256;1257;m1215_0;0.0;0.0;0;E 5 5;1215;_0;MCCXV;0;0;0;0;838;indice non contato.;Ricettario;cartaceo;0.0;0.0;0;208.0;200.0;148.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.605189133392959;0.5
1257;1258;m1216_0;0.0;0.0;0;E 5 6;1216;_0;MCCXVI;0;0;0;0;838;indice non contato.;Girolamo Rosa Morando: Manoscritto farmaceutico, 1621;cartaceo;0.0;0.0;0;60.0;185.0;130.0;rilegato;pargamena;0;/;orange;#2B9332;Non digitalizzato;4.3710288804643405;0.5
1258;1259;m1217_0;0.0;0.0;0;E 5 7;1217;_0;MCCXVII;0;0;0;0;838;0;Ricettario chimico-farmaceutico;cartaceo;0.0;0.0;0;0.0;200.0;135.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1259;1260;m1218_0;0.0;0.0;0;E 5 8;1218;_0;MCCXVIII;0;0;0;0;838;0;Sinopisis florae veronensis;cartaceo;0.0;0.0;0;331.0;171.0;115.0;rilegato;mezza pella;0;/;orange;#2B9332;Non digitalizzato;6.0684014752990745;0.5
1260;1261;m1219_0;0.0;0.0;0;E 5 9;1219;_0;MCCXIX;0;0;0;0;838;0;Collectio Sententiarum ex variis operibus medicorum;cartaceo;0.0;0.0;0;43.0;185.0;135.0;0;0;0;/;orange;#888483;Non digitalizzato;4.04286850259599;0.15
1261;1262;m1220_0;0.0;0.0;0;E 5 10;1220;_0;MCCXX;0;0;0;0;838;0;Arte universal de la guerra del principe Raymundo Montecucoli theniente general de las armas del señor emperador;cartaceo;0.0;0.0;0;7.0;147.0;85.0;rilegato;pelle scura, fermagli, taglio oro;0;/;orange;#2B9332;Non digitalizzato;2.3139782768234887;0.5
1262;1263;m1221_0;0.0;0.0;0;E 5 11;1221;_0;MCCXXI;0;0;0;0;838;0;Bartholomei Fatii ad quendam amicum suum De origine inter Gallos et Britanos historia incipit feliciter...;cartaceo;0.0;0.0;0;0.0;155.0;105.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1263;1264;m1222_0;0.0;0.0;0;E 5 12;1222;_0;MCCXXII;0;0;0;0;838;0;Lucchi medico di Verona;cartaceo;0.0;0.0;0;28.0;212.0;141.0;rilegato;pelle scura;0;/;orange;#2B9332;Non digitalizzato;3.6232292041236747;0.5
1264;1265;m1223_0;0.0;0.0;0;E 5 13;1223;_0;MCCXXIII;0;0;0;0;838;0;Piccola cronaca dell'ordine domenicano [dal] 1216 sino all'anno 1686;cartaceo;0.0;0.0;0;313.0;212.0;148.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;6.012619405152762;0.5
1265;1266;m1223A0;0.0;0.0;0;E 5 14;1223;A0;MCCXXIII A;0;0;0;0;838;0;Piccola cronaca dell'ordine domenicano [dal] 1216 sino all'anno 1687;cartaceo;0.0;0.0;0;152.0;212.0;148.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.29288597655083;0.5
1266;1267;m1224_0;0.0;0.0;0;E 5 16a;1224;_0;MCCXXIV;0;0;0;0;838;0;Memorie di storia profana;cartaceo;1700.0;1800.0;0;0.0;210.0;150.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1267;1268;m1225_0;0.0;0.0;0;E 5 15;1225;_0;MCCXXV;0;0;0;0;838;indice non contato.;Memorie delle vite dei beati e beate dell'ordine Domenicano dei quali dalla Santa Sede è concesso uffizio e messa;cartaceo;0.0;0.0;0;256.0;215.0;148.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.812138499293826;0.5
1268;1269;m1226_0;0.0;0.0;0;E 5 16;1226;_0;MCCXXVI;0;0;0;0;839;0;Memorie di storia ecclesiastica - Prime carte: Il kalendario;cartaceo;0.0;0.0;0;0.0;215.0;148.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1269;1270;m1227_0;0.0;0.0;0;E 5 17;1227;_0;MCCXXVII;0;0;0;0;839;0;Kalendarium et Martyrologium - Kalendarium veronense ordinis Praedicatorum pro anno 1833 etc.;cartaceo;0.0;0.0;0;171.0;214.0;153.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.410110274938871;0.5
1270;1271;m1228_0;0.0;0.0;0;E 5 18;1228;_0;MCCXXVIII;0;0;0;0;839;0;Storia del parlamento dell'Inghilterra;cartaceo;0.0;0.0;0;160.0;225.0;158.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.343927877800089;0.5
1271;1272;m1229_0;0.0;0.0;0;E 5 19;1229;_0;MCCXXIX;0;0;0;0;839;0;Picccola miscellanea;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1272;1273;m1230_0;0.0;0.0;0;E 5 20;1230;_0;MCCXXX;0;0;0;0;839;0;Giornale dei commercianti;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1273;1274;m1231_0;0.0;0.0;0;E 5 21;1231;_0;MCCXXXI;0;0;0;0;839;0;Piccola grammatica tedesca;cartaceo;0.0;0.0;0;0.0;136.0;90.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1274;1275;m1232_0;0.0;0.0;0;E 5 22;1232;_0;MCCXXXII;0;0;0;0;839;0;Appunti di grammatica italiana;cartaceo;0.0;0.0;0;0.0;141.0;104.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1275;1276;m1233_0;0.0;0.0;0;E 5 23;1233;_0;MCCXXXIII;0;0;0;0;839;0;Libro pel primo semestre scolastico delle scuole comunali di S. Sebastiano;cartaceo;0.0;0.0;0;0.0;131.0;96.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1276;1277;m1234_0;0.0;0.0;0;E 5 24;1234;_0;MCCXXXIV;0;0;0;0;839;0;Due libretti di preghiere tedeschi;cartaceo;0.0;0.0;0;0.0;0.0;0.0;rilegato;pelle con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1277;1278;m1234A0;0.0;0.0;0;E 5 25;1234;A0;MCCXXXIV A;0;0;0;0;839;0;Due libretti di preghiere tedeschi;cartaceo;0.0;0.0;0;0.0;0.0;0.0;rilegato;pelle con impressioni oro;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1278;1279;m1235_0;0.0;0.0;0;E 5 26;1235;_0;MCCXXXV;0;0;0;0;839;0;Prediga statta recitata nella chiesa parochiale di Sulzbach li 17 marzo 1793 dal reverendo padre perfect. Cappucino su le circostanze di tal tempo della guerra in Germania;cartaceo;0.0;0.0;0;32.0;160.0;96.0;0;0;0;/;orange;#888483;Non digitalizzato;3.7534179752515073;0.15
1279;1280;m1235A0;0.0;0.0;0;E 5 27;1235;A0;MCCXXXV A;0;0;0;0;839;0;Ordo et modus professionis faciendae...;cartaceo;0.0;0.0;0;6.0;189.0;133.0;0;0;0;/;orange;#888483;Non digitalizzato;2.176171168138387;0.15
1280;1281;m1236_0;0.0;0.0;0;E 5 28;1236;_0;MCCXXXVI;0;0;0;0;839;0;Francesco Pona: Il gran contagio di Verona dell'anno M.DC.XXX descritto da Franc. Pona...;cartaceo;1725.0;1800.0;0;62.0;176.0;137.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.403410935301662;0.5
1281;1282;m1237_0;0.0;0.0;0;E 5 29;1237;_0;MCCXXXVII;0;0;0;0;839;Molto roso dai topi;Anatome phisiologica e filosofica;cartaceo;1800.0;1900.0;0;0.0;130.0;88.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1282;1283;m1238_0;0.0;0.0;0;E 5 30;1238;_0;MCCXXXVIII;0;0;0;0;839;0;Corsi don Giuseppe: La cattedrale di Verona.;cartaceo;0.0;0.0;0;166.0;207.0;164.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;5.380569170831431;0.5
1283;1284;m1239_0;0.0;0.0;0;[E 4 6 bis];1239;_0;MCCXXXIX;0;0;0;0;839-840;Indicato in I supplemento Spagnolo come E4 6;Copie di Ex actibus Oliverii de Numptiis, 1335 e Ex Protocolo Leonardi de Codelipis, 1361-1376;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1284;1285;m1240_0;0.0;0.0;0;E 4 7;1240;_0;MCCXL;0;0;0;0;840;A stampa;Capitolo e canonici di Verona;0;1600.0;1700.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1285;1286;m1241_0;0.0;0.0;0;E 4 8;1241;_0;MCCXLI;0;0;0;0;840;0;Varia, scolastica e catechismo;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1286;1287;m1242_0;0.0;0.0;0;E 4 9;1242;_0;MCCXLII;0;0;0;0;840;0;Istruzioni, filosofia, morale etc...;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1287;1288;m1243_0;0.0;0.0;0;E 4 10;1243;_0;MCCXLIII;0;0;0;0;840;pagine non sicure.;Missioni dei pp. Pinamonti, Scaramelli, Segneri;cartaceo;0.0;0.0;0;233.0;217.0;155.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.7182947163860955;0.5
1288;1289;m1244_0;0.0;0.0;0;E 4 11;1244;_0;MCCXLIV;0;0;0;0;840;0;Maffei Scipione: Suggerimento per la perpetua presservazione della serenis.ma Repubblica Veneta atteso il presente stato di Italia, ed Europa proposto nell'anno 1736 dal sign. marchese Scipione Maffei;cartaceo;0.0;0.0;0;102.0;173.0;122.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.896439566349901;0.5
1289;1290;m1245_0;0.0;0.0;0;[V A 15 -16];1245;_0;MCCXLV;0;0;0;0;840;probabilmente nelle buste VA 15 VA 16, in codici MCXLII MCXLIII riportato E4 12 una copia dattiloscritta;Ecc. mons. de Besi Lodovico: Lettere alla madre dalla missione in Cina. 1833-1844;cartaceo;0.0;0.0;0;230.0;282.0;217.0;rilegato;mezza pergamena;0;/;orange;#2B9332;Non digitalizzato;5.7053784226756195;0.5
1290;1291;m1246_0;0.0;0.0;0;E 4 13;1246;_0;MCCXLVI;0;0;0;0;840;0;Benassuti Luigi (parroco di Cerea): Illustrazione del tesoro trovato in Isola Rizza nel Veronese addi 28 febbraio 1872;cartaceo;0.0;0.0;0;56.0;237.0;190.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.302938332521579;0.5
1291;1292;m1247_0;0.0;0.0;0;E 4 14;1247;_0;MCCXLVII;0;0;0;0;840;0;Senza musica, Collectio orationum pro ecclesia cattedrali veronensi in expositione ss. Sacramenti;cartaceo;0.0;0.0;0;19.0;266.0;193.0;rilegato;seta con ricami d'argento;0;/;orange;#2B9332;Non digitalizzato;3.248030014520774;0.5
1292;1293;m1248_0;0.0;0.0;0;E 4 15;1248;_0;MCCXLVIII;0;0;0;0;840;0;"Cartella. I quaderno: Ristretto di grammatica francese; II quaderno: Fraseologia francese e italiana; III quaderno: Libro di conti (Zamboni G.); IV, V e VI q.: Tavole appartenenti agli interessi (Zamboni Gius.)";cartaceo;0.0;0.0;0;0.0;0.0;0.0;rilegato;quaderni e tavole;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
1293;1294;m1249_0;0.0;0.0;0;E 4 16;1249;_0;MCCXLIX;0;0;0;0;840;0;E. Zamboni : Trattato di fisica;cartaceo;1859.0;1900.0;0;0.0;255.0;185.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1294;1295;m1250_0;0.0;0.0;0;E 4 17;1250;_0;MCCL;0;0;0;0;840;0;Zopi: Physica Universa;cartaceo;1700.0;1800.0;0;241.0;230.0;185.0;0;0;0;/;orange;#888483;Non digitalizzato;5.751944134479841;0.15
1295;1296;m1251_0;0.0;0.0;0;E 4 18;1251;_0;MCCLI;0;0;0;0;840;0;Gilardoni don Vincenzo: Scrittarelli fanciulleschi;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1296;1297;m1252_0;0.0;0.0;0;E 4 19;1252;_0;MCCLII;0;0;0;0;840;0;Omelie parrochiali;cartaceo;0.0;0.0;0;0.0;290.0;192.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1297;1298;m1253_0;0.0;0.0;0;n.d.;1253;_0;MCCLIII;0;0;0;0;840;"Il quadernetto Turrini distingue il sigillo dai manoscritti VIII2 8 e sigillo in VIII2 7. Secondo il I supplemento a Spagnolo è indicato come VI4 1 su ""II p. VIII II 8"" depennato. Si trova il sigillo";Manoscritti riguardanti il sigillo di Rodolfo I D'Asburgo;0;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1298;1299;m1254_0;0.0;0.0;0;[VI 4 5];1254;_0;MCCLIV;0;0;0;0;841;"In I supplemento al catalogo Spagnolo VI4 2 su ""II p. VII IV 7"" depennato";Cipolla Francesco e Carlo: Elementi per la formazione di un vacabolario della parlata della Giazza, raccolti in sito da Francesco e Carlo Cipolla;0;0.0;0.0;0;0.0;0.0;0.0;0;schedine;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1299;1300;m1254b0;0.0;0.0;0;[S 1];1254;b0;MCCLIV [bis];0;0;0;0;841;0;Cipolla Francesco e Carlo: Elementi per la formazione di un vacabolario della parlata della Giazza, raccolti in sito da Francesco e Carlo Cipolla;0;0.0;0.0;0;0.0;0.0;0.0;0;schedine;0;/;gray;#888483;Non digitalizzato;4.0;0.15
1300;1301;m1255_1;0.0;0.0;0;[VI 4 6];1255;_1;MCCLV 1;0;0;0;0;841;In I supplemento Spagnolo VI4 3 (non suddivise);Autografi diretti per la massima parte a C. Cipolla;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
1301;1302;m1255_2;0.0;0.0;0;[VI 4 7];1255;_2;MCCLV 2;0;0;0;0;841;tre buste corrispondenza. In I supplemento Spagnolo VI4 3 (non suddivise);Autografi diretti per la massima parte a C. Cipolla;cartaceo;0.0;0.0;0;0.0;0.0;0.0;0;0;0;/;orange;#888483;Non digitalizzato;4.0;0.15
